title: Offline Optimal Schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          14.11           6.41
       7       robot           7.88          16.11           8.23
       6       human          14.11          17.58           3.46
       8       human          17.58          21.17           3.59
       9       human          21.17          27.58           6.41
      10       human          27.58          31.17           3.59
      11       robot          21.20          29.58           8.38
      12       human          31.17          34.64           3.46
      13       human          34.64          41.05           6.41
      14       human          41.05          44.63           3.58
      16       robot          33.99          43.05           9.06
      15       human          44.63          47.96           3.34
      17       human          47.96          54.37           6.41
      18       human          54.37          57.84           3.46
      19       human          57.84          61.43           3.59
      20       robot          47.85          56.37           8.52
      21       human          61.43          67.84           6.41
      23       human          67.84          71.43           3.59
      24       robot          60.64          69.84           9.20
      22       human          71.43          75.05           3.62
                                         makespan:          75.05

title: Dynamic rescheduling after Failure 1
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          14.11           6.41
       7       robot           7.88          16.11           8.23
       6       human          14.11          17.58           3.46
       8       human          17.58          21.17           3.59
       9       human          21.17          27.58           6.41
      12       human          27.58          31.04           3.46
      11       robot          21.20          29.58           8.38
      10       human          31.17          34.76           3.59
      13       human          34.76          41.17           6.41
      14       human          41.17          44.75           3.58
      16       robot          34.12          43.17           9.06
      15       human          44.75          48.09           3.34
      17       human          48.09          54.50           6.41
      18       human          54.50          57.96           3.46
      19       human          57.96          61.56           3.59
      20       robot          47.97          56.50           8.52
      21       human          61.56          67.96           6.41
      23       human          67.96          71.56           3.59
      24       robot          60.76          69.96           9.20
      22       human          71.56          75.18           3.62
                                         makespan:          75.18

